,W,SI,SB,S,RB,PL,JO,NG,LH,QS,CO,LC,KW,KC,LX,LT,LN,LL,LP,LA,HO,GC,FC,CT,CL,CC,C
1,-0.007871926,-0.015192258,-0.05652726,0.002824609,0.01079379,-0.021839831,-0.022352221,-0.062297122,0.023967279,-0.042146371,-0.0187318,-0.00835881,-0.010465392,-0.079214851,-0.010089523,-0.014157198,-0.012005592,-0.00660626,-0.012701383,-0.010717064,-0.003640709,-0.021554153,0.002438835,-0.000120477,-0.004348251,2.36E-05,-0.007671247
2,0.011639439,-0.030969719,0.003099704,0.011295007,-0.015283864,-0.030268422,0.02388254,-0.004478098,-0.007866743,0.003446651,-0.020744439,-0.001629391,0.009418173,0.019562129,-0.004681781,-0.008448727,-0.002784523,-0.006202074,0.004692853,0.010588309,-0.019011333,-0.004887134,-0.000141076,0.013965726,-0.026257224,-0.00902191,-3.83E-05
3,-0.00367639,-0.006356886,-0.007411753,-0.003959942,0.006086379,-0.019180115,-0.010301738,0.019985324,0.002627958,0.001830607,-0.004155053,0.016404359,-0.003325375,-0.014915101,0.002262482,0.028150392,-0.004156435,0.012735564,-0.004007529,0.00138453,-0.002091305,0.002633145,0.007299827,0.011306907,-0.002724246,0.010887322,0.005352289
4,0.013874587,0.007129962,0.009313773,0.00899615,-0.026109505,0.00508318,-0.002834978,-0.006414703,0.012548,-0.024921763,-0.017914143,0.012782008,0.011130275,-0.020637528,-0.003448565,-0.007445783,-0.007916089,0.007931795,0.00374241,0.006500406,-0.023765357,0.002495444,0.006773414,0.036669549,-0.021818863,0.015254881,0.015764876
5,0.008764183,0.000446253,-0.002074564,-0.013095669,0.010117525,0.005227586,0.002764636,0.017761862,4.18E-05,-0.033562343,0.020123489,-0.001264885,0.008478169,0.032164002,-0.00750887,-0.01951183,-0.001420504,-0.006625016,-0.00943948,-0.007618284,-0.002188214,-0.000396565,0.000166352,-0.007673527,0.013226483,-0.017731477,0.007941148
6,-0.000902343,0.001886954,-0.023979871,0.000874587,0.026744533,0.000213212,-0.022323384,0.020639734,0.005297028,0.026284567,0.037762069,0.001124039,-0.000297114,-0.001477318,-0.009753795,-0.010540281,-0.008655313,-0.007753434,-0.001574531,0.003391455,0.03426628,0.00701966,-0.001892382,0.010876519,0.046054041,0.008344684,-0.00676054
7,0.021714185,-0.007297155,-0.037887191,0.012443429,0.040950202,0.011570502,0.008657805,-0.002510368,-0.017343835,0.032508881,0.011792711,-0.005073762,0.022536096,0.01269523,0.005047386,-0.008533881,0.013704539,-0.001966689,0.00995033,0.000527937,0.029726651,-0.000556969,-0.00694424,-0.008981004,0.025520796,0.010655347,0.042216617
8,0.017950098,0.00161067,0.004158222,0.016685692,0.001325705,0.006395264,0.0219714,0.006320161,-0.000871376,0.017426775,0.010379793,0.003913059,0.014663714,-0.000913716,0.000777135,-0.003644933,-0.008087823,-0.004910106,0.002565803,-0.00487785,0.006470047,0.006052744,-0.004416767,0.022014933,0.008825789,0.023340441,0.022725536
9,0.006485246,-0.001732276,-0.005503489,0.01571923,0.048315095,0.013678569,-0.013512803,0.026369816,0.010959556,0.025618088,0.02556167,0.002501937,0.010682694,-0.051751999,0.003388253,0.009832473,0.002478301,-0.00875968,0.005655982,0.010969672,0.062559102,-0.000698213,0.006582986,0.007361954,0.049185077,-0.023174591,-0.007742514
10,-0.0024523,0.00603337,-0.028739048,0.009349434,0.027334297,0.014848442,0.006260776,0.023354353,0.003339717,0.036258412,0.031841273,-0.001030288,-0.003282688,0.025712925,-0.008902175,0.003688536,0.011559665,-0.019274846,0.007548814,0.036771202,0.025382588,0.018176773,-0.000159674,-0.005554947,0.023666313,-0.027016683,0.002431045
11,0.004905907,0.000648132,0.037801379,-0.00321301,-0.008845065,0.030187,-0.015616657,0.014702259,0.012734015,-0.000658126,-0.008226813,-0.007797063,0.003733014,0.009571274,0.007830569,0.005286814,0.013845423,0.006844687,0.015582152,0.014370672,0.019124955,0.002375166,-0.010162398,0.055746911,0.003277952,0.017556498,0.003107728
12,-0.004870723,0.020322079,0.014575332,0.007434488,-5.83E-05,-0.009729588,-0.002991168,0.056330877,0.005569743,0.013951161,0.006390356,-0.003317079,-0.004004383,-0.037433836,-0.010466964,-0.002249231,-0.004802489,-0.011176106,-0.005606768,-0.005271018,0.033675333,-0.001252334,-0.00388566,-0.007363321,0.002270042,0.011837523,-0.000420769
13,-0.003851466,0.000880288,-0.025301365,-0.003928315,-0.000924817,0.00939971,0.008125823,-0.032447329,0.015167738,0.030818339,0.007131623,0.002179831,0.000204549,-0.009948277,-0.001034043,0.003851358,0.019312397,-0.00340636,-0.001472458,-0.008633646,-0.006436196,0.001494736,0.00228281,-0.02218216,0.007820355,0.011433407,0.006023019
14,0.010882857,0.007055907,-0.023412309,0.0152765,-0.011373875,0.021284947,-0.011513973,0.016445625,-0.003821205,-0.026286316,-0.004658854,4.64E-05,0.009491831,0.007361983,-0.011137061,-0.009325775,-0.003318212,-0.000617934,-0.01594107,-0.007370689,-0.028911976,-0.006414454,-0.001251038,0.005384599,-0.007248677,-0.017545539,0.023114991
15,-0.005523888,-0.001577573,0.003060818,0.008882117,0.01257819,0.010340887,0.000687502,0.025558042,-0.010126475,0.005195359,0.016521669,0.001740559,-0.004428448,0.006947663,-0.028214811,-0.01233837,-0.000344989,0.001286918,-0.007870169,0.004038718,0.013379668,-0.008137934,0.005716516,0.02475218,0.014612797,-0.008418063,0.001070575
16,-0.0134367,-0.004225059,0.017762483,-0.006723474,-0.011083321,-0.018717213,0.009690712,-0.036172643,0.00719373,0.007959353,-0.016984272,-0.000998942,-0.01314195,0.019496131,-0.007027875,-0.003717846,-0.003474624,0.008488182,-0.015480193,0.00368362,-0.005082774,0.001749008,0.003892435,-0.004776593,-0.014121123,0.00928062,-0.017689727
17,0.015490803,0.02430269,0.001610286,0.027253063,-0.010700488,0.029791603,-0.023425369,0.03048807,-0.010749457,-0.016237446,-0.015623976,-0.009180713,0.010486512,-0.007479502,0.003205592,-0.003000476,0.013507605,-0.00246552,0.004186999,-0.00588086,-0.019663427,0.002020803,-0.01006746,0.00201839,-0.018930206,-0.030085072,0.013316057
18,-0.014213473,-0.017241834,0.012270031,-0.004977251,-0.001623347,0.018831265,-0.009178308,-0.005438188,0.017626607,-0.013863864,-0.000834251,0.003987697,-0.01035667,0.001690656,-0.001896898,0.001723301,0.016360059,-0.008165543,-0.004389111,0.00011179,0.003107858,-0.013090846,0.000503515,-0.000851804,-0.003593924,-0.01407925,-0.010488902
